ID|ID_left|Date|Company|Title|Location|Description|Link|ID_right|Seniority level|Employment type|Job function|Industries
10|10|2021-11-13|Community Health Systems|Associate Security Engineer - Incident Response|Franklin, TN|error|https://www.linkedin.com/jobs/view/associate-security-engineer-incident-response-at-community-health-systems-2798271369?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=cu%2BfaqCPqzlRxWZgRq7BrQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card|10|error|error|error|error
11|11|2021-11-18|RevSpring|Information Security Analyst|Antioch, TN|error|https://www.linkedin.com/jobs/view/information-security-analyst-at-revspring-2804722714?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=kw5PE81GerwJhW%2FB%2FjWhXw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card|11|error|error|error|error
12|12|2021-11-25|Belle|Information Security Analyst (U.S. - Remote)|Nashville, TN|error|https://www.linkedin.com/jobs/view/information-security-analyst-u-s-remote-at-belle-2812398304?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=JhEOfR%2F%2B8%2FOl7w%2F%2FNgS4JA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card|12|error|error|error|error
13|13|2021-12-07|SERVPRO|Technical Support Analyst|Gallatin, TN|error|https://www.linkedin.com/jobs/view/technical-support-analyst-at-servpro-2827893805?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=c1hmXRItmoxi9s3PiJQaEA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card|13|error|error|error|error
14|14|2021-11-29|Genpact|Entry level IT Security Analyst|Goodlettsville, TN|error|https://www.linkedin.com/jobs/view/entry-level-it-security-analyst-at-genpact-2818950271?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=eZP2B7SlFDBtnGoGadAKtQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card|14|error|error|error|error
15|15|2021-12-02|Community Health Systems|Regional Director IT Governance and Risk Management|Franklin, TN|error|https://www.linkedin.com/jobs/view/regional-director-it-governance-and-risk-management-at-community-health-systems-2825086279?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=fwY1VOEXmmBhVtOE1eUgZw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card|15|error|error|error|error
16|16|2021-11-10|BNY Mellon|Cyber Security Analyst - Vulnerability Management|Nashville, TN|error|https://www.linkedin.com/jobs/view/cyber-security-analyst-vulnerability-management-at-bny-mellon-2823170368?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=cN9QosJdltCtY6C4%2BP%2BGxQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card|16|error|error|error|error
17|17|2021-12-03|Cigna|IT Security Compliance Senior Manager|Nashville, TN|error|https://www.linkedin.com/jobs/view/it-security-compliance-senior-manager-at-cigna-2826061187?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=ljbVOW1YPuDWivocG7v2nw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card|17|error|error|error|error
18|18|2021-11-02|Vanderbilt University Medical Center|Network Security Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/network-security-analyst-at-vanderbilt-university-medical-center-2816451811?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=570bgt5yxwquEfWXiO0Qrg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card|18|error|error|error|error
19|19|2021-12-04|Dollar General|INFORMATION SECURITY ANALYST|Goodlettsville, TN|error|https://www.linkedin.com/jobs/view/information-security-analyst-at-dollar-general-2822171129?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=CHSosEr8Wb%2FrRfzr2EHsyQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card|19|error|error|error|error
20|20|2021-12-07|Zycron|SR Information Security Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/sr-information-security-analyst-at-zycron-2823049786?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=zkeRJSICcfRo6dffUTRLrQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card|20|error|error|error|error
21|21|2021-11-13|Community Health Systems|Associate Security Engineer|Franklin, TN|error|https://www.linkedin.com/jobs/view/associate-security-engineer-at-community-health-systems-2796575154?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=kNOYBsV0iqXKN9MCumPmlg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card|21|error|error|error|error
22|22|2021-10-31|Deloitte|Tier 1 Federal SOC Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/tier-1-federal-soc-analyst-at-deloitte-2813235305?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=FuYxfUyZI8CGJaxHODvO3Q%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card|22|error|error|error|error
23|23|2021-12-07|Clearwater|Principal Consultant, Cybersecurity/Risk|Nashville, TN|error|https://www.linkedin.com/jobs/view/principal-consultant-cybersecurity-risk-at-clearwater-2827869829?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=8kxvUpWcJklmIc3e3NtXHA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card|23|error|error|error|error
24|24|2021-12-01|Dollar General|INFORMATION SECURITY ANALYST|Goodlettsville, TN|error|https://www.linkedin.com/jobs/view/information-security-analyst-at-dollar-general-2817763100?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=pyDZWZlGR1E%2BSt7%2BHP6x8w%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card|24|error|error|error|error
25|25|2021-11-17|Deloitte|Cybersecurity Compliance and Governance Analyst|Hermitage, TN|error|https://www.linkedin.com/jobs/view/cybersecurity-compliance-and-governance-analyst-at-deloitte-2801807236?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=A8QkAdr2RPtAOUDsnBY4Ow%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card|25|error|error|error|error
26|26|2021-11-30|Dollar General|INFORMATION SECURITY ANALYST|Goodlettsville, TN|error|https://www.linkedin.com/jobs/view/information-security-analyst-at-dollar-general-2815805368?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=G2d2wz%2BIogx%2FCVhauS3xxg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card|26|error|error|error|error
27|27|2021-12-07|Clearwater|vCISO, Principal Consultant Cybersecurity|Nashville, TN|error|https://www.linkedin.com/jobs/view/vciso-principal-consultant-cybersecurity-at-clearwater-2827872960?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=VZDlYvtAhn7e2ehK4gD%2FbQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card|27|error|error|error|error
28|28|2021-11-04|Community Health Systems|IS Security Engineer- Incident Response|Franklin, TN|error|https://www.linkedin.com/jobs/view/is-security-engineer-incident-response-at-community-health-systems-2818007427?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=hegelE4SsWXYHYt%2BnwELUg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card|28|error|error|error|error
29|29|2021-12-01|Thorndale Partners|Cyber Security Engineer|Nashville, TN|error|https://www.linkedin.com/jobs/view/cyber-security-engineer-at-thorndale-partners-2822077905?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=4o4AGBeqU9zjdE2%2Bt1nSCQ%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card|29|error|error|error|error
30|30|2021-11-09|Change Healthcare|Incident Management Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/incident-management-analyst-at-change-healthcare-2822159953?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=ctPR%2FIF9hJYlGEWfYIp5vg%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card|30|error|error|error|error
31|31|2021-11-30|Mohawk Industries|Cybersecurity Analyst Intern - Summer 2022 (USA Nashville TN SSC #112 (L03, Tennessee, United States, 37011)|Antioch, TN|error|https://www.linkedin.com/jobs/view/cybersecurity-analyst-intern-summer-2022-usa-nashville-tn-ssc-%23112-l03-tennessee-united-states-37011-at-mohawk-industries-2784490103?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=ydVRy3k2oPySSN29yoQDnw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card|31|error|error|error|error
32|32|2021-10-31|Deloitte|Cyber Security BISO Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/cyber-security-biso-analyst-at-deloitte-2813233648?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=jcubr9xcff1HCf%2FjQ3LvpA%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card|32|error|error|error|error
33|33|2021-11-30|Thorndale Partners|Cyber Security Engineer|La Vergne, TN|error|https://www.linkedin.com/jobs/view/cyber-security-engineer-at-thorndale-partners-2820032551?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=maSo92TPGryEIoRxPWj6%2Bw%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card|33|error|error|error|error
34|34|2021-11-11|Payscale|Senior Information Security Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/senior-information-security-analyst-at-payscale-2788339827?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=nFRP4O7XH3BDVWx5nHwopQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card|34|error|error|error|error
35|35|2021-12-01|TEKsystems|Network Security Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/network-security-analyst-at-teksystems-2822088396?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=H2S4Vm%2FZUkMK59J%2BAy3agg%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card|35|error|error|error|error
36|36|2021-11-11|LBMC|Cyber Security Staff Consultant|Nashville, TN|error|https://www.linkedin.com/jobs/view/cyber-security-staff-consultant-at-lbmc-2790380657?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=5HoS4BS4snaq1%2B4Yg3Bf0w%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card|36|error|error|error|error
37|37|2021-12-01|Experian|Application Security Analyst II - Experian Health - REMOTE role (work from anywhere in the US!)|Franklin, TN|error|https://www.linkedin.com/jobs/view/application-security-analyst-ii-experian-health-remote-role-work-from-anywhere-in-the-us%21-at-experian-2814778192?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=4CxU5Xi%2Fmtm3W1311nMFwA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card|37|error|error|error|error
38|38|2021-11-04|Anthem, Inc.|Security Analyst II|Brentwood, TN|error|https://www.linkedin.com/jobs/view/security-analyst-ii-at-anthem-inc-2819029407?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=122bE4cSrwaMegFTiHtMuQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card|38|error|error|error|error
39|39|2021-11-29|Episode Solutions|Security Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/security-analyst-at-episode-solutions-2777279258?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=Fu8CJmUWe8BhQ4kKI%2F5FZw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card|39|error|error|error|error
40|40|2021-10-25|Vanderbilt University|Security Systems Technician, Public Safety|Nashville, TN|error|https://www.linkedin.com/jobs/view/security-systems-technician-public-safety-at-vanderbilt-university-2805745986?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=%2Flm8227iSV2UGHDkvvuMow%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card|40|error|error|error|error
41|41|2021-11-28|Asurion|Information Security Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/information-security-analyst-at-asurion-2754820836?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=2A2KLqFXDKnxWzoOVI%2BdPg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card|41|error|error|error|error
42|42|2021-11-10|BNY Mellon|Cyber Security Architects|Nashville, TN|error|https://www.linkedin.com/jobs/view/cyber-security-architects-at-bny-mellon-2823167660?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=C6Q%2B7rWYxRryk58bTD202Q%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card|42|error|error|error|error
43|43|2021-11-10|Change Healthcare|Information Security Engineer|Nashville, TN|error|https://www.linkedin.com/jobs/view/information-security-engineer-at-change-healthcare-2823130498?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=O%2BjJDGFsZ001O2aJF40Kvg%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card|43|error|error|error|error
44|44|2021-10-31|Deloitte|Cyber Security BISO Analyst|Hermitage, TN|error|https://www.linkedin.com/jobs/view/cyber-security-biso-analyst-at-deloitte-2813239041?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=Xi3OLy%2FAnQZbCwSWBF5Pyw%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card|44|error|error|error|error
45|45|2021-11-17|LBMC|Cyber Risk Consultant (Multiple Roles Available)|Nashville, TN|error|https://www.linkedin.com/jobs/view/cyber-risk-consultant-multiple-roles-available-at-lbmc-2795978549?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=xEvn6GRaQDgrQprF%2Buc6xg%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card|45|error|error|error|error
46|46|2021-12-06|Urban League of Middle Tennessee|Nashville SC Stadium - Security Manager|Nashville, TN|error|https://www.linkedin.com/jobs/view/nashville-sc-stadium-security-manager-at-urban-league-of-middle-tennessee-2829321457?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=ThXa%2FRCYPLi2mFrFBB9xpw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card|46|error|error|error|error
47|47|2021-12-03|StaffSource|Manager, IT Governance|Nashville, TN|error|https://www.linkedin.com/jobs/view/manager-it-governance-at-staffsource-2826000518?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=okZTzVEwnZzT%2F7Elf98ZCg%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card|47|error|error|error|error
48|48|2021-12-03|PwC|NIS - Security Hygiene Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/nis-security-hygiene-analyst-at-pwc-2820120072?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=pd4B593AGIe8JUh%2BFEvLsw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card|48|error|error|error|error
49|49|2021-11-16|U.S. Retirement & Benefits Partners|Technical Support Analyst|Brentwood, TN|error|https://www.linkedin.com/jobs/view/technical-support-analyst-at-u-s-retirement-benefits-partners-2801418370?refId=BvfwLVhCkJVQJ8IA%2FLXGhg%3D%3D&trackingId=M1J7zvojH7gGgQwx8y0HGg%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card|49|error|error|error|error
